timeframe,fast_period,slow_period,signal_period,take_profit_pct,histogram_expansion_bars,divergence_lookback,pivot_window,train_bars,test_bars,train_score,train_return_pct,train_max_drawdown_pct,train_sharpe,train_closed_lots,train_win_rate_pct,train_profit_factor,test_return_pct,test_max_drawdown_pct,test_sharpe,test_closed_lots,test_win_rate_pct,test_profit_factor,test_net_pnl_usdt,is_best_for_timeframe
15m,8,35,9,0.015,3,30,3,6002,2592,-2.376661523869585,-0.9036507840261766,1.4730107398434085,-4.722121876561714,1058,35.25519848771266,0.8093596989771622,-0.549063930250959,0.6465960372046353,-5.888961994696672,468,35.68376068376068,0.7693844593098796,-54.906393025095895,False
15m,8,30,9,0.02,3,30,3,6007,2592,-2.378404386682889,-0.9527087987323284,1.4256955879505604,-4.677273761719327,1107,36.31436314363143,0.8078526099148409,-0.5366359778228434,0.7010812124335319,-5.451877123769683,464,36.853448275862064,0.7862102007805463,-53.66359778228434,False
15m,8,35,9,0.025,3,30,3,6002,2592,-2.4056481711453777,-0.9146996950412721,1.4909484761041054,-4.303447904208253,1069,34.892422825070156,0.8113282140225865,-0.5859094891327368,0.7899016638341475,-5.820983059616375,473,35.095137420718814,0.7599784857152225,-58.59094891327368,False
15m,14,26,6,0.02,3,30,3,6010,2592,-2.4224563045832097,-0.9436403829390656,1.4788159216441439,-4.705103302706706,1080,36.2037037037037,0.8077197634516632,-0.4585072012016826,0.7008269741697554,-4.5590258990614885,474,36.075949367088604,0.8181885479499447,-45.85072012016826,False
15m,10,30,6,0.025,3,30,3,6010,2592,-2.4271898877748685,-0.9759336750594776,1.451256212715391,-4.509945192162146,1143,35.43307086614173,0.8075957509755483,-0.6628596224751527,0.8172121486857546,-6.857946919491412,480,36.875,0.736097043772858,-66.28596224751527,False
15m,12,30,9,0.025,3,30,3,6007,2592,-2.4447902001993875,-1.045905097319828,1.3988851028795595,-4.845352299802126,1011,35.21266073194857,0.7927356251268837,-0.5272640730869352,0.7419853695061527,-5.090907150076302,439,36.674259681093396,0.7827661985080387,-52.726407308693524,False
15m,10,30,9,0.025,3,30,3,6007,2592,-2.4464990655720102,-1.0046243844190759,1.4418746811529346,-4.577405602488083,1049,35.462345090562444,0.7975345196659877,-0.589332000579052,0.8093820402357964,-5.9084283457638085,446,36.32286995515695,0.7508290947728788,-58.933200057905196,False
15m,8,35,9,0.02,3,30,3,6002,2592,-2.458660192440102,-0.9665315229794031,1.4921286694606992,-4.76596904060043,1065,35.02347417840376,0.8006400374539594,-0.5214622379471439,0.6986926493269998,-5.358697873574513,471,35.45647558386412,0.7857249756841461,-52.14622379471439,False
15m,10,35,6,0.025,3,30,3,6005,2592,-2.4712219213430804,-0.9683691409551285,1.502852780387952,-4.543487582554264,1128,35.54964539007092,0.8063601613745697,-0.7510220193207897,0.9240731193468759,-7.669695738957427,482,35.684647302904565,0.7045387188313297,-75.10220193207897,False
15m,14,30,6,0.015,3,30,3,6010,2592,-2.4760054647477183,-1.0281150200786942,1.4478904446690244,-5.33506044062618,1056,36.07954545454545,0.7889315438216803,-0.40867621651328595,0.541593225405331,-4.326060560007186,464,37.28448275862069,0.826493833784818,-40.86762165132859,False
15m,10,35,6,0.015,3,30,3,6005,2592,-2.4897993970772005,-0.9810114263559081,1.5087879707212926,-5.136482329300621,1118,35.95706618962433,0.7979689000815767,-0.7314126731693613,0.8017637551509962,-8.056002404766042,475,36.0,0.7042268938440565,-73.14126731693614,False
15m,12,35,9,0.025,3,30,3,6002,2592,-2.4930440882783724,-1.095307281933692,1.3977368063446804,-5.154956959022975,1000,34.9,0.776713096835347,-0.5583580194602291,0.8493635030771841,-5.412208927700905,440,37.27272727272727,0.7728040840664483,-55.83580194602291,False
15m,10,26,6,0.02,3,30,3,6010,2592,-2.4931885220583956,-1.0119690121889835,1.4812195098694123,-4.940880136775649,1177,35.6839422259983,0.8024783533890211,-0.46366497736849854,0.6836008250114777,-4.8612331725540985,488,37.704918032786885,0.8109903725605412,-46.36649773684985,False
15m,14,30,6,0.02,3,30,3,6010,2592,-2.4976006545755585,-1.054289511987754,1.4433111425878047,-5.1655449337700965,1065,35.86854460093897,0.789235526720499,-0.3584399491787553,0.6312751184306563,-3.6094572251192356,469,37.10021321961621,0.8517278068221017,-35.843994917875534,False
15m,14,35,6,0.025,3,30,3,6005,2592,-2.503016570718649,-1.0135075581883575,1.4895090125302914,-4.788186074897567,1034,34.81624758220503,0.7923406430725777,-0.4588979704451049,0.6661834404058274,-4.561852653522527,448,36.160714285714285,0.803723467306014,-45.88979704451049,False
15m,10,26,6,0.025,3,30,3,6010,2592,-2.504489694163806,-1.0152857459542248,1.4892039482095811,-4.7108492806651245,1182,35.6175972927242,0.8060668408687963,-0.5824824528076896,0.7787786212110073,-5.941580687465374,490,37.142857142857146,0.7635335787547444,-58.24824528076897,False
15m,10,30,9,0.015,3,30,3,6007,2592,-2.5165857702897885,-1.0670249240915655,1.4495608461982228,-5.548565443160218,1039,35.803657362848895,0.7788627957570932,-0.49115537290561406,0.6408712683130643,-5.282744809424394,440,37.5,0.7849084518959927,-49.115537290561406,False
15m,10,35,6,0.02,3,30,3,6005,2592,-2.5188551693896635,-0.9774152734518612,1.5414398959378022,-4.8011812817087085,1126,35.61278863232682,0.8032499750672538,-0.6496766439069325,0.8197315343573566,-6.7953904119645445,481,36.17463617463618,0.7438388490351172,-64.96766439069324,False
15m,10,26,6,0.015,3,30,3,6010,2592,-2.534745633394924,-1.0555890395702772,1.4791565938246471,-5.4391773109393275,1174,35.945485519591145,0.7908909256924592,-0.5553451786085316,0.6463513075180194,-6.136999305418243,482,37.551867219917014,0.7680476872227006,-55.53451786085316,False
15m,12,30,9,0.02,3,30,3,6007,2592,-2.5421828827621504,-1.1338029703609027,1.4083799124012477,-5.4996336669405945,1009,35.282457879088206,0.7733469935398928,-0.4532809929474752,0.6610448284813131,-4.5152352415947,437,37.07093821510298,0.8115955297064167,-45.32809929474752,False
15m,14,26,9,0.025,3,30,3,6010,2592,-2.542331403631699,-1.0584720945588741,1.483859309072825,-4.896999104306262,999,34.93493493493494,0.7939226518521318,-0.41752472520238365,0.6428422648928864,-3.9759066364596225,434,37.096774193548384,0.823543802549647,-41.75247252023837,False
15m,12,35,9,0.02,3,30,3,6002,2592,-2.5481748876939476,-1.112681358598493,1.4354935290954547,-5.485162534521369,996,35.040160642570285,0.7699894727683617,-0.5478364186524232,0.7323151925459302,-5.512341808728794,436,37.15596330275229,0.7752689899988572,-54.783641865242316,False
15m,10,30,9,0.02,3,30,3,6007,2592,-2.5501507205095937,-1.1149660255506935,1.4351846949589002,-5.463787723188569,1046,35.65965583173996,0.7756782935423444,-0.5309605586169528,0.7214488420605829,-5.486982192749408,444,36.93693693693694,0.7739148269000925,-53.09605586169528,False
15m,14,35,6,0.02,3,30,3,6005,2592,-2.5703363011092737,-1.0708177313057603,1.4995185698035132,-5.326879834143175,1029,35.08260447035958,0.7792710068046935,-0.39301950160819615,0.5707458060640505,-4.01061096274232,445,36.40449438202247,0.8303051384130073,-39.301950160819615,False
15m,12,35,9,0.015,3,30,3,6002,2592,-2.579998119868848,-1.0965010556678862,1.4834970642009615,-5.727096604286759,991,34.81331987891019,0.7697909074309961,-0.5718013427086044,0.7023859153268486,-5.98461517089344,429,37.06293706293706,0.7581232768246459,-57.180134270860435,False
15m,8,21,6,0.025,2,30,3,6010,2592,-2.594532760058427,-0.9824879409698587,1.6120448190885681,-3.716101382984446,1747,36.97767601602748,0.8666977454067052,-1.110142722415858,1.2139720535587837,-8.450007613556926,784,34.94897959183674,0.7282118708189201,-111.01427224158579,False
15m,12,30,9,0.015,3,30,3,6007,2592,-2.5992102034766145,-1.1724947948146291,1.4267154086619853,-6.00045485696596,1000,35.199999999999996,0.7626267925838907,-0.44569307289857535,0.5914459171854785,-4.6382296607419535,430,37.44186046511628,0.8079911418206969,-44.569307289857534,False
15m,12,35,6,0.015,3,30,3,6005,2592,-2.60427422729217,-0.9940207857602582,1.6102534415319119,-5.212282739327924,1083,35.73407202216066,0.7949462917626701,-0.38747604139718533,0.5086770430648457,-4.0954584721834415,467,37.687366167023555,0.836236140280539,-38.74760413971853,False
15m,10,21,12,0.025,3,30,3,6010,2592,-2.607826933588516,-1.0818437220362103,1.5259832115523055,-4.891259942393659,1026,35.76998050682261,0.7860794097738487,-0.470181765220168,0.6954807713072285,-4.635071269963243,435,35.63218390804598,0.801752953580915,-47.0181765220168,False
15m,14,21,9,0.025,3,30,3,6010,2592,-2.6182724629774157,-1.1168215579605203,1.5014509050168954,-5.05809187782345,1024,35.44921875,0.7796664890998063,-0.42212019257323846,0.6188823051271749,-4.059533445970675,437,36.61327231121281,0.8256635620568796,-42.212019257323846,False
15m,14,30,9,0.025,3,30,3,6007,2592,-2.6348166502864965,-1.1045060478763844,1.5303106024101123,-5.206135555270105,988,35.020242914979754,0.778067213302133,-0.6078000323474952,0.8214009603778837,-5.806314690988212,433,36.489607390300236,0.7511388319464264,-60.78000323474953,False
15m,12,21,12,0.025,3,30,3,6010,2592,-2.6379013356858705,-1.128842288400938,1.5090590472849328,-5.197581889193877,997,34.90471414242728,0.7809452282885342,-0.5996788709491011,0.7793767509433692,-5.776281832674648,435,35.172413793103445,0.7571634775305133,-59.96788709491011,False
15m,10,21,9,0.015,2,30,3,6010,2592,-2.6453278766315895,-1.060374118030777,1.5849537586008124,-4.368922942165174,1455,37.38831615120275,0.8404761762927343,-0.7715437410456252,0.8570107894882437,-6.61008028555477,620,37.74193548387097,0.771345916369754,-77.15437410456252,False
15m,10,35,12,0.025,3,30,3,5999,2592,-2.6475886860834397,-1.1411003827306558,1.5064883033527838,-5.425146914780837,988,35.121457489878544,0.7678038872802115,-0.6970256438593424,0.8734533204868996,-6.704607133364314,425,35.76470588235294,0.7169637798105641,-69.70256438593424,False
15m,10,21,12,0.015,3,30,3,6010,2592,-2.653362082454925,-1.1202269567643999,1.533135125690525,-5.5886846426062595,1022,36.007827788649706,0.7750987008645062,-0.4517493594745975,0.6066602342749488,-4.817655279635538,430,36.27906976744186,0.8039736874231076,-45.174935947459744,False
